open_time,open,high,low,close,volume
2023-06-27 11:00:00,1882.73,1883.66,1877.93,1877.93,14.7267
2023-06-27 11:15:00,1879.1,1879.1,1875.04,1876.51,4.7004
2023-06-27 11:30:00,1875.96,1880.01,1875.96,1878.55,20.3767
2023-06-27 11:45:00,1878.19,1883.72,1878.19,1881.4,38.8052
2023-06-27 12:00:00,1882.46,1882.7,1879.4,1881.3,41.6998
2023-06-27 12:15:00,1880.0,1882.48,1879.07,1880.84,79.0507
2023-06-27 12:30:00,1880.89,1886.26,1880.02,1886.18,99.8832
2023-06-27 12:45:00,1886.29,1886.84,1883.06,1884.65,17.8292
2023-06-27 13:00:00,1884.04,1884.04,1876.29,1876.38,16.35
2023-06-27 13:15:00,1878.15,1878.15,1875.42,1877.94,12.8808
2023-06-27 13:30:00,1877.36,1881.23,1876.52,1877.86,60.1284
2023-06-27 13:45:00,1878.42,1880.47,1875.44,1879.99,33.4795
2023-06-27 14:00:00,1880.42,1896.35,1874.45,1881.31,155.6455
2023-06-27 14:15:00,1881.5,1887.32,1880.78,1886.96,181.9031
2023-06-27 14:30:00,1886.19,1888.98,1880.59,1882.13,84.3989
2023-06-27 14:45:00,1882.68,1885.52,1880.81,1884.83,42.8342
2023-06-27 15:00:00,1884.36,1884.36,1872.9,1877.1,61.7732
2023-06-27 15:15:00,1878.14,1878.17,1872.22,1872.28,69.3779
2023-06-27 15:30:00,1872.19,1876.04,1865.16,1870.61,112.9459
2023-06-27 15:45:00,1869.99,1874.58,1869.99,1871.8,39.8602
2023-06-27 16:00:00,1872.15,1878.0,1870.36,1877.46,154.8506
2023-06-27 16:15:00,1878.06,1883.56,1874.09,1883.02,71.7809
2023-06-27 16:30:00,1884.0,1899.9,1884.0,1899.89,80.3716
2023-06-27 16:45:00,1900.0,1910.2,1895.34,1909.44,203.2651
2023-06-27 17:00:00,1909.27,1912.36,1902.01,1902.01,125.9131
2023-06-27 17:15:00,1903.43,1903.55,1897.52,1897.52,152.5219
2023-06-27 17:30:00,1897.64,1899.64,1893.43,1897.43,67.878
2023-06-27 17:45:00,1897.45,1902.64,1896.74,1900.94,130.8892
2023-06-27 18:00:00,1902.06,1902.06,1897.73,1899.9,42.9073
2023-06-27 18:15:00,1899.75,1901.1,1895.94,1900.56,38.7069
2023-06-27 18:30:00,1899.95,1901.54,1898.94,1900.96,2.7474
2023-06-27 18:45:00,1899.56,1900.84,1897.64,1898.13,16.1605
2023-06-27 19:00:00,1897.77,1901.73,1897.59,1900.84,20.5462
2023-06-27 19:15:00,1900.51,1900.51,1894.73,1895.75,14.4946
2023-06-27 19:30:00,1895.79,1898.72,1895.2,1897.37,18.8374
2023-06-27 19:45:00,1897.94,1899.37,1894.64,1894.64,25.9633
2023-06-27 20:00:00,1894.79,1897.03,1893.56,1896.5,17.7234
2023-06-27 20:15:00,1895.77,1895.77,1886.97,1887.04,58.0215
2023-06-27 20:30:00,1886.75,1889.7,1886.68,1888.43,11.678
2023-06-27 20:45:00,1888.39,1892.98,1887.57,1892.98,55.1294
2023-06-27 21:00:00,1892.78,1892.78,1889.2,1890.06,27.466
2023-06-27 21:15:00,1890.83,1891.64,1888.97,1890.82,33.5354
2023-06-27 21:30:00,1890.72,1893.82,1890.02,1893.82,20.0811
2023-06-27 21:45:00,1893.95,1897.5,1893.95,1896.07,102.0262
2023-06-27 22:00:00,1896.67,1896.81,1893.38,1893.39,13.5643
2023-06-27 22:15:00,1893.2,1893.2,1890.82,1890.82,28.2967
2023-06-27 22:30:00,1890.91,1893.29,1887.36,1887.37,89.5429
2023-06-27 22:45:00,1887.71,1890.02,1886.67,1887.1,21.0902
2023-06-27 23:00:00,1886.25,1888.28,1885.59,1887.27,12.6419
2023-06-27 23:15:00,1887.21,1888.72,1886.2,1888.15,4.8849
2023-06-27 23:30:00,1887.64,1889.42,1887.59,1889.42,8.3541
2023-06-27 23:45:00,1888.19,1891.83,1888.19,1889.55,54.8591
2023-06-28 00:00:00,1890.34,1890.34,1877.05,1883.69,161.2918
2023-06-28 00:15:00,1882.19,1882.19,1865.95,1871.4,170.1192
2023-06-28 00:30:00,1871.1,1871.1,1865.0,1870.23,50.8838
2023-06-28 00:45:00,1870.16,1875.7,1866.8,1875.37,81.521
2023-06-28 01:00:00,1874.78,1879.38,1872.73,1876.56,64.5938
2023-06-28 01:15:00,1876.54,1876.54,1869.75,1871.74,42.3761
2023-06-28 01:30:00,1870.77,1872.23,1867.81,1868.88,49.2786
2023-06-28 01:45:00,1868.07,1872.07,1868.07,1871.06,18.847
2023-06-28 02:00:00,1870.37,1873.11,1869.81,1871.23,40.944
2023-06-28 02:15:00,1869.98,1873.97,1869.57,1871.66,32.1479
2023-06-28 02:30:00,1871.39,1872.21,1869.52,1870.85,11.5371
2023-06-28 02:45:00,1869.5,1869.98,1854.28,1862.21,133.7614
2023-06-28 03:00:00,1860.05,1865.79,1859.85,1863.79,34.7536
2023-06-28 03:15:00,1863.05,1865.49,1862.49,1865.34,14.1481
2023-06-28 03:30:00,1865.38,1868.04,1865.38,1868.04,13.4172
2023-06-28 03:45:00,1866.95,1867.81,1865.11,1866.96,17.6494
2023-06-28 04:00:00,1865.69,1867.32,1863.43,1863.93,79.1246
2023-06-28 04:15:00,1864.3,1866.01,1863.75,1865.34,43.2208
2023-06-28 04:30:00,1865.21,1868.85,1864.96,1866.68,22.5794
2023-06-28 04:45:00,1867.59,1868.98,1867.59,1868.34,5.1276
2023-06-28 05:00:00,1867.51,1867.51,1862.28,1864.16,13.8117
2023-06-28 05:15:00,1864.0,1868.22,1864.0,1867.87,25.4854
2023-06-28 05:30:00,1867.85,1869.88,1866.22,1869.88,24.4754
2023-06-28 05:45:00,1869.55,1869.93,1868.37,1868.37,7.4623
2023-06-28 06:00:00,1867.2,1867.33,1860.48,1862.06,18.873
2023-06-28 06:15:00,1862.14,1864.7,1861.52,1863.7,40.2175
2023-06-28 06:30:00,1862.32,1867.45,1861.79,1867.45,28.8442
2023-06-28 06:45:00,1867.32,1867.32,1860.78,1860.78,17.5858
2023-06-28 07:00:00,1861.03,1864.2,1858.91,1864.12,70.4398
2023-06-28 07:15:00,1864.3,1864.32,1860.0,1862.32,17.3441
2023-06-28 07:30:00,1862.83,1863.99,1850.1,1854.08,196.3059
2023-06-28 07:45:00,1853.24,1857.13,1849.85,1851.04,141.3278
2023-06-28 08:00:00,1851.12,1855.34,1850.9,1852.74,33.5609
2023-06-28 08:15:00,1853.55,1857.47,1853.55,1857.05,36.8067
2023-06-28 08:30:00,1857.05,1857.05,1854.52,1855.05,36.8624
2023-06-28 08:45:00,1855.27,1857.79,1854.58,1857.49,2.0043
2023-06-28 09:00:00,1857.37,1858.52,1855.58,1858.01,13.0755
2023-06-28 09:15:00,1858.02,1861.85,1858.01,1861.02,28.2032
2023-06-28 09:30:00,1861.23,1862.36,1860.51,1861.35,17.6213
2023-06-28 09:45:00,1861.12,1861.55,1858.23,1861.33,22.9339
2023-06-28 10:00:00,1860.73,1861.18,1858.89,1859.25,8.9931
2023-06-28 10:15:00,1860.06,1862.77,1859.53,1862.6,17.0657
2023-06-28 10:30:00,1862.43,1862.89,1860.75,1861.14,6.5982
2023-06-28 10:45:00,1860.82,1862.87,1860.82,1862.52,6.741
2023-06-28 11:00:00,1863.14,1864.54,1862.61,1862.84,13.9603
2023-06-28 11:15:00,1862.39,1862.91,1859.12,1862.76,78.6864
2023-06-28 11:30:00,1862.72,1863.89,1862.16,1863.55,3.1602
2023-06-28 11:45:00,1863.51,1864.59,1860.99,1860.99,25.9709
2023-06-28 12:00:00,1860.67,1861.75,1859.46,1860.83,13.5203
2023-06-28 12:15:00,1860.52,1863.77,1856.0,1863.76,49.9998
2023-06-28 12:30:00,1863.82,1864.48,1852.57,1853.07,66.5405
2023-06-28 12:45:00,1853.89,1856.13,1850.09,1852.57,84.317
2023-06-28 13:00:00,1852.45,1856.23,1845.0,1856.2,77.5851
2023-06-28 13:15:00,1855.81,1858.78,1854.97,1856.85,26.5488
2023-06-28 13:30:00,1856.18,1858.97,1854.6,1854.6,16.6783
2023-06-28 13:45:00,1853.86,1856.7,1848.76,1856.68,76.6321
2023-06-28 14:00:00,1856.85,1859.83,1853.15,1853.67,40.1395
2023-06-28 14:15:00,1853.57,1859.44,1853.57,1858.62,11.5389
2023-06-28 14:30:00,1858.92,1868.03,1857.49,1866.32,69.9896
2023-06-28 14:45:00,1867.26,1867.26,1857.25,1858.17,69.054
2023-06-28 15:00:00,1858.0,1863.01,1855.07,1858.11,65.6554
2023-06-28 15:15:00,1859.11,1862.13,1859.11,1859.39,6.3471
2023-06-28 15:30:00,1859.57,1863.25,1859.57,1860.55,6.7716
2023-06-28 15:45:00,1860.79,1861.05,1858.13,1859.38,5.952
2023-06-28 16:00:00,1859.72,1864.9,1859.49,1863.64,34.0177
2023-06-28 16:15:00,1863.03,1864.25,1857.04,1858.69,42.3621
2023-06-28 16:30:00,1857.86,1858.64,1854.99,1856.35,21.0748
2023-06-28 16:45:00,1855.8,1857.99,1855.33,1855.33,38.5431
2023-06-28 17:00:00,1855.33,1856.45,1842.53,1847.15,84.2879
2023-06-28 17:15:00,1848.09,1854.71,1846.49,1853.67,64.0917
2023-06-28 17:30:00,1853.93,1853.93,1843.02,1844.16,98.227
2023-06-28 17:45:00,1845.98,1848.62,1845.38,1848.44,6.1669
2023-06-28 18:00:00,1847.86,1850.58,1847.4,1849.45,40.5275
2023-06-28 18:15:00,1849.41,1852.2,1849.02,1851.7,8.5954
2023-06-28 18:30:00,1850.99,1852.16,1850.03,1851.13,17.3369
2023-06-28 18:45:00,1850.6,1850.86,1846.37,1847.31,27.6345
2023-06-28 19:00:00,1847.63,1847.99,1845.44,1847.99,11.1067
2023-06-28 19:15:00,1847.96,1850.43,1830.89,1832.3,114.3963
2023-06-28 19:30:00,1832.29,1833.05,1816.31,1825.99,164.5498
2023-06-28 19:45:00,1826.7,1833.6,1826.7,1832.49,22.8645
2023-06-28 20:00:00,1832.46,1834.25,1825.35,1826.2,91.5964
2023-06-28 20:15:00,1825.97,1831.45,1825.25,1829.14,40.7257
2023-06-28 20:30:00,1829.27,1833.06,1829.08,1833.01,17.6515
2023-06-28 20:45:00,1832.91,1834.29,1828.89,1831.39,31.4396
2023-06-28 21:00:00,1831.52,1832.11,1825.9,1826.44,40.0312
2023-06-28 21:15:00,1826.68,1829.05,1826.19,1827.86,17.6363
2023-06-28 21:30:00,1828.56,1833.55,1828.53,1832.01,38.2265
2023-06-28 21:45:00,1832.5,1832.89,1829.86,1829.86,4.4291
2023-06-28 22:00:00,1830.3,1832.41,1830.3,1832.41,3.8915
2023-06-28 22:15:00,1831.93,1833.58,1830.6,1831.11,10.8261
2023-06-28 22:30:00,1831.55,1831.73,1828.24,1828.24,29.2158
2023-06-28 22:45:00,1828.5,1828.5,1826.28,1827.8,23.4512
2023-06-28 23:00:00,1827.21,1835.27,1827.21,1834.96,39.8548
2023-06-28 23:15:00,1835.85,1836.17,1831.92,1832.5,21.6426
2023-06-28 23:30:00,1832.08,1832.23,1827.9,1828.89,21.7737
2023-06-28 23:45:00,1828.46,1830.6,1827.88,1827.88,12.835
2023-06-29 00:00:00,1827.88,1831.88,1827.88,1831.25,36.3418
2023-06-29 00:15:00,1831.52,1835.11,1828.95,1834.04,25.6607
2023-06-29 00:30:00,1834.55,1834.55,1829.95,1832.83,24.4795
2023-06-29 00:45:00,1833.25,1833.25,1829.06,1832.33,11.793
2023-06-29 01:00:00,1832.34,1837.98,1831.75,1836.83,25.6448
2023-06-29 01:15:00,1836.82,1842.57,1836.63,1839.19,22.6286
2023-06-29 01:30:00,1838.96,1839.83,1836.69,1837.7,24.016
2023-06-29 01:45:00,1837.7,1837.7,1833.73,1835.8,95.135
2023-06-29 02:00:00,1835.58,1837.01,1833.98,1836.61,13.1637
2023-06-29 02:15:00,1835.87,1836.97,1834.17,1836.29,21.3298
2023-06-29 02:30:00,1835.22,1835.48,1832.83,1833.29,13.4818
2023-06-29 02:45:00,1833.01,1833.01,1831.24,1831.77,15.3408
2023-06-29 03:00:00,1832.54,1835.48,1831.24,1835.12,13.406
2023-06-29 03:15:00,1834.82,1837.5,1833.73,1837.38,12.7986
2023-06-29 03:30:00,1837.26,1837.26,1835.13,1835.92,10.0314
2023-06-29 03:45:00,1835.69,1836.91,1835.53,1836.91,0.2126
2023-06-29 04:00:00,1837.71,1839.65,1837.27,1838.51,14.982
2023-06-29 04:15:00,1838.81,1838.83,1836.77,1838.14,1.7644
2023-06-29 04:30:00,1837.49,1840.62,1837.49,1838.61,8.6879
2023-06-29 04:45:00,1839.16,1840.09,1839.1,1839.55,1.4421
2023-06-29 05:00:00,1839.56,1841.1,1839.41,1841.1,3.8964
2023-06-29 05:15:00,1840.88,1843.54,1839.6,1839.6,21.8608
2023-06-29 05:30:00,1840.07,1840.08,1838.44,1839.13,11.5988
2023-06-29 05:45:00,1838.99,1839.8,1837.9,1838.09,11.2384
2023-06-29 06:00:00,1838.1,1838.2,1837.12,1838.04,0.7099
